before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-20,alexnet,index=9.271677,onb_or_above,1399550234057.834961,7433373729040.416992,13,5,3310742657178.110840,4122631071862.310059
-8,-20,ensemble__inner_holdout,index=1.0,below_onb,-59885777953.745483,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=10.322114,onb_or_above,712288064725.370239,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=11.376320,onb_or_above,156117186062.451294,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=12.434018,onb_or_above,-8160974934.283542,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=13.496023,onb_or_above,-50576566029.259277,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=14.562158,onb_or_above,-52210419148.533127,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=15.633482,onb_or_above,-36185874691.214745,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=16.709792,onb_or_above,-55888151591.170692,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=17.789500,onb_or_above,-134934739141.166306,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=18.873637,onb_or_above,-227894292869.240295,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=2.2380,below_onb,-156164447062.664246,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=3.21242,below_onb,-87945928818.867767,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=4.58389,below_onb,41661680538.385986,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=5.113188,below_onb,551379459238.020142,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=6.146381,below_onb,1105579069304.336182,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=7.184190,below_onb,1113843546136.181885,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=8.225704,below_onb,521222227119.074829,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,ensemble__inner_holdout,index=9.271677,onb_or_above,633938768066.510742,3966182828950.185059,8,10,3029689828500.718262,936493000449.462646
-8,-20,equal_offline,index=1.0,below_onb,-18859148645.627308,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=10.322114,onb_or_above,558305847863.982666,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=11.376320,onb_or_above,114604724177.457565,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=12.434018,onb_or_above,10100072348.669401,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=13.496023,onb_or_above,-33944738913.685181,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=14.562158,onb_or_above,-47087168558.046097,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=15.633482,onb_or_above,-42673718606.790977,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=16.709792,onb_or_above,-53852548695.056236,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=17.789500,onb_or_above,-89718194463.329803,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=18.873637,onb_or_above,-98933582273.135773,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=2.2380,below_onb,-117145500770.212265,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=3.21242,below_onb,-66060057578.350494,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=4.58389,below_onb,10569953963.401375,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=5.113188,below_onb,382032216387.589294,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=6.146381,below_onb,835291289582.440552,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=7.184190,below_onb,854901417763.276978,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
