day,role,feature,heat_flux,q_ratio,threshold_db,median_db,n,kept
2025.06.11_0.3_2,training,band_1000_2000_db,315466.1173,0.854972457783098,-57.85305501588399,-62.604320560200506,60,6
2025.06.11_0.3_2,training,band_1000_2000_db,368978.105,1.0,-57.85305501588399,-55.72227542484123,60,45
2025.06.11_0.3_2,training,band_1000_2000_db,427276.195,1.1579987788164288,-57.85305501588399,-48.83888916823389,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,489453.9981,1.3265123091788875,-57.85305501588399,-45.59918628611797,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,554196.3218,1.501976172271794,-57.85305501588399,-42.71584669681371,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,624442.5514,1.6923566546042077,-57.85305501588399,-41.221654552507445,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,698421.296,1.8928529539713477,-57.85305501588399,-39.43928922102877,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,776647.2223,2.104859913842313,-57.85305501588399,-38.25554482077375,60,60
2025.06.11_0.3_2,training,band_1000_2000_db,859343.9142,2.3289834886002247,-57.85305501588399,-37.282836143917976,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,0.000328047,8.890690140001667e-10,-53.742956361291846,-83.65119714118939,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,2355.33535,0.0063834013945082,-53.742956361291846,-81.4564147974639,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,20979.71604,0.0568589728108663,-53.742956361291846,-81.79618299334555,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,57593.31665,0.1560887106024895,-53.742956361291846,-81.3932153426319,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,111264.7017,0.3015482495905821,-53.742956361291846,-81.53672610084075,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,144324.2618,0.391145869752895,-53.742956361291846,-81.6573387992886,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,181378.003,0.49156847125116,-53.742956361291846,-82.07111075410054,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,221505.1102,0.6003204721320795,-53.742956361291846,-84.41200689211009,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,266907.6965,0.7233700127003472,-53.742956361291846,-65.04005235143525,60,0
2025.06.11_0.3_2,training,band_2000_3000_db,315466.1173,0.854972457783098,-53.742956361291846,-58.752511271201,60,6
2025.06.11_0.3_2,training,band_2000_3000_db,368978.105,1.0,-53.742956361291846,-49.90831630007787,60,52
2025.06.11_0.3_2,training,band_2000_3000_db,427276.195,1.1579987788164288,-53.742956361291846,-43.948631039925566,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,489453.9981,1.3265123091788875,-53.742956361291846,-40.96325389496242,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,554196.3218,1.501976172271794,-53.742956361291846,-37.992543117686424,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,624442.5514,1.6923566546042077,-53.742956361291846,-35.60165658485216,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,698421.296,1.8928529539713477,-53.742956361291846,-33.89279868696944,60,60
2025.06.11_0.3_2,training,band_2000_3000_db,776647.2223,2.104859913842313,-53.742956361291846,-32.55231826981995,60,60
