experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=8.225704,57,57.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0057.npy,376320.1201,0.5997685208540621,1.3202715864533926e-08,-84.01939690128316,-84.80996791676634,-86.91262986209148,-90.02490575912324,-90.6616168344435,-92.89160586988162,-88.65477556559405,-81.98334941895142,-85.18544389655614
2025.06.18_0.3_3,index=8.225704,58,58.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0058.npy,376320.1201,0.5997685208540621,1.2629533194459913e-08,-84.17699775452137,-85.03510371808372,-86.99558575765231,-90.27784143972681,-90.57597049780705,-93.17649170482633,-88.93851982167257,-82.16658245571219,-85.32344623184261
2025.06.18_0.3_3,index=8.225704,59,59.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0059.npy,376320.1201,0.5997685208540621,1.266852446602471e-08,-84.35593439444213,-85.09376893251081,-86.78901616306634,-90.22556886691042,-90.57564548884645,-93.15328466489888,-88.67425204464999,-82.11923167617017,-85.16559127390366
2025.06.18_0.3_3,index=9.271677,0,0.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0000.npy,376320.1201,0.7219323843960477,2.470726575481376e-08,-80.78756987692351,-82.22932243125534,-83.67856927303097,-89.70509698895546,-86.53347933209218,-91.7532536297786,-88.70777854829264,-79.45302340701475,-82.71065405637465
2025.06.18_0.3_3,index=9.271677,1,1.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0001.npy,376320.1201,0.7219323843960477,1.3558806736597048e-08,-83.76146025664744,-84.86373015096548,-86.82554270586093,-89.96388366070626,-90.31413989017808,-93.4067028527094,-88.74581053301235,-81.97330969940245,-85.10689239070052
2025.06.18_0.3_3,index=9.271677,2,2.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0002.npy,376320.1201,0.7219323843960477,1.300970804699064e-08,-83.69037501612885,-85.06434628921255,-87.11154821425941,-90.81861128553209,-90.4755294297347,-93.57835366476358,-88.96683064704062,-82.29984736417455,-85.57069918233822
2025.06.18_0.3_3,index=9.271677,3,3.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0003.npy,376320.1201,0.7219323843960477,9.698924559504919e-08,-84.06754321206854,-84.63009658157179,-84.10763509404194,-87.28124658985206,-70.85935101087239,-82.85435608187916,-85.94850423583743,-80.363450371175,-82.40048021110073
2025.06.18_0.3_3,index=9.271677,4,4.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0004.npy,376320.1201,0.7219323843960477,1.3252071963971943e-08,-84.25301928965196,-84.89658692882158,-85.62215779035006,-91.12079669430209,-90.57257366465268,-92.86171607432766,-88.81399139738568,-81.70616976091998,-84.5435260752148
2025.06.18_0.3_3,index=9.271677,5,5.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0005.npy,376320.1201,0.7219323843960477,5.826143250781092e-08,-82.86407411928921,-80.62630481013048,-76.14740227512206,-88.01861371049439,-76.56268679066751,-87.56099114770221,-88.40124115592225,-74.61982347585221,-75.87392725303715
2025.06.18_0.3_3,index=9.271677,6,6.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0006.npy,376320.1201,0.7219323843960477,5.595939118607537e-08,-84.12455598960115,-84.51494381809843,-81.24549036108854,-83.20412798238239,-76.8177180111467,-88.06773154784841,-87.49622475862569,-78.00671854348599,-79.10501599744845
