experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_1000_2000Hz,3.756351843,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.2078944402,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_2000_5000Hz,273.5891104,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_512_1000Hz,2.642298462,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.1761353944,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_1000_2000Hz,37.2659096,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_2000_5000Hz,3.060382355,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.3670725746,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_2000_5000Hz,37.67890538,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,3.329294378,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.2676170655,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=0,0,alexnet,freq_2000_5000Hz,20.97691331,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_5000Hz,3.73451174,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.4468328237,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_no_noise,no_noise,alexnet,freq_2000_5000Hz,15.86803137,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_2000_5000Hz,3.096383161,3
2025.07.09_0.3_1,maxfreq=5kHz,heatflux_no_noise,no_noise,rf,freq_2000_5000Hz,0.5347615068,3
