source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=12.4.27E+05,0,427276.195,10000-15000,8.459182556075716e-07,3.0488541387334577e-05,-15.568082501417473,4.431917498582527
index=12.4.27E+05,0,427276.195,15000-22050,6.395503130220987e-07,2.162941859450793e-05,-15.291701297921714,4.708298702078286
index=12.4.27E+05,0,427276.195,500-3000,0.00013374702592511587,4.35411990436025e-06,14.873837490500321,34.87383749050032
index=12.4.27E+05,0,427276.195,3000-22050,1.5175689528873594e-05,6.610361155056919e-05,-6.390767547014536,13.609232452985463
index=12.4.27E+05,0,427276.195,0-22050,0.0001489898471270359,7.047151456644572e-05,3.2514306913090607,23.25143069130906
index=12.4.27E+05,30,427276.195,500-1000,9.734127877426173e-06,1.6935737324480336e-06,7.594929381810742,27.594929381810744
index=12.4.27E+05,30,427276.195,1000-2000,2.8379793656462375e-05,2.1421019097518153e-07,21.221691050727344,41.221691050727344
index=12.4.27E+05,30,427276.195,2000-3000,8.886897672005274e-05,2.2874730006400457e-07,25.893942027915124,45.893942027915124
index=12.4.27E+05,30,427276.195,3000-5000,1.076708853645069e-06,3.9738488453477373e-07,4.32886940538216,24.32886940538216
index=12.4.27E+05,30,427276.195,5000-10000,8.801419706397067e-06,1.2332727545712567e-05,-1.4650640583784917,18.53493594162151
index=12.4.27E+05,30,427276.195,10000-15000,6.976731736351085e-07,3.299398763413439e-05,-16.747827831358386,3.2521721686416143
index=12.4.27E+05,30,427276.195,15000-22050,6.160290818929441e-07,1.9401005726237185e-05,-14.982230287508163,5.0177697124918375
index=12.4.27E+05,30,427276.195,500-3000,0.0001269828982539413,2.1365312234872198e-06,17.740359911521036,37.74035991152104
index=12.4.27E+05,30,427276.195,3000-22050,1.119183081557019e-05,6.512510579061892e-05,-7.648473053856126,12.351526946143874
index=12.4.27E+05,30,427276.195,0-22050,0.00013826859877532995,6.727049294886384e-05,3.128989515482962,23.128989515482964
index=12.4.27E+05,59,427276.195,500-1000,1.2384807589957965e-05,1.4234308639376297e-06,9.395528854822125,29.395528854822125
index=12.4.27E+05,59,427276.195,1000-2000,3.6034417070225376e-05,2.1537695066987777e-07,22.235182769775793,42.23518276977579
index=12.4.27E+05,59,427276.195,2000-3000,0.00010467715645750811,1.9634717284591896e-07,27.268272642169027,47.26827264216902
index=12.4.27E+05,59,427276.195,3000-5000,1.2821331733564092e-06,3.1352603372795725e-07,6.116595286421143,26.116595286421145
index=12.4.27E+05,59,427276.195,5000-10000,1.0625666952826852e-05,8.803116670416599e-06,0.8171974168037944,20.817197416803793
index=12.4.27E+05,59,427276.195,10000-15000,1.0629575335792613e-06,3.761802899323205e-05,-15.48880122546483,4.5111987745351705
index=12.4.27E+05,59,427276.195,15000-22050,8.958095089093115e-07,1.8667815056408032e-05,-13.188778215265817,6.811221784734183
index=12.4.27E+05,59,427276.195,500-3000,0.00015309638111769144,1.8351549874534266e-06,19.212921766501317,39.21292176650132
index=12.4.27E+05,59,427276.195,3000-22050,1.3866567168671832e-05,6.540248675378464e-05,-6.7362530183168134,13.263746981683187
index=12.4.27E+05,59,427276.195,0-22050,0.00016706011499143398,6.724528607258909e-05,3.952109305190312,23.952109305190312
index=13.4.89E+05,0,489453.9981,500-1000,2.4247869500625383e-05,3.4340345216325014e-06,8.488689293219295,28.488689293219295
index=13.4.89E+05,0,489453.9981,1000-2000,8.052425604868714e-05,4.7051219214316043e-07,22.333558395686865,42.333558395686865
