seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
44,alexnet,index=9.271677,271677.6816,near_onb,60,-1045569735895.2635
44,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,925150716996.7988
44,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,-877664500839.3837
44,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,4049284929.7977686
44,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,-3776372278.9000607
44,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-46702202503.198814
44,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,-172184075410.47656
44,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,-226166154870.41013
44,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,-194577097981.16693
44,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,-73504497802.10365
44,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,158580940290.25598
44,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,1263427230858.4094
44,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,1120314872749.5002
44,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,647268562818.2903
44,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,105903377514.24727
44,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,-323148584577.9364
44,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,-472661440865.05255
44,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,-878850685389.1584
44,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,-826947491492.1562
44,equal_offline,index=1.0,-1.42e-06,below_onb,60,1112981050568.5762
44,equal_offline,index=10.322114,322114.2428,above_onb,60,-1067139796383.5941
44,equal_offline,index=11.376320,376320.1201,above_onb,60,-25145969140.728325
44,equal_offline,index=12.434018,434018.0833,above_onb,60,1532988827.4690042
44,equal_offline,index=13.496023,496023.3525,above_onb,60,-21647647990.100517
44,equal_offline,index=14.562158,562158.7854,above_onb,60,-90089054763.313
44,equal_offline,index=15.633482,633482.536,above_onb,60,-129859502456.70299
44,equal_offline,index=16.709792,709792.7143,above_onb,60,-100414647126.90654
44,equal_offline,index=17.789500,789500.1968,above_onb,60,14889184901.621014
44,equal_offline,index=18.873637,873637.0359,above_onb,60,212131224275.7796
44,equal_offline,index=2.2380,2380.025286,below_onb,60,1327842834138.941
44,equal_offline,index=3.21242,21242.86319,below_onb,60,1191115076368.8093
44,equal_offline,index=4.58389,58389.85471,below_onb,60,689225397875.3376
44,equal_offline,index=5.113188,113188.2901,below_onb,60,52431380958.07127
44,equal_offline,index=6.146381,146381.6505,below_onb,60,-332333282883.78107
44,equal_offline,index=7.184190,184190.9699,below_onb,60,-515892134120.83044
44,equal_offline,index=8.225704,225704.9618,below_onb,60,-999604589065.468
44,equal_offline,index=9.271677,271677.6816,near_onb,60,-970434417644.6125
