snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-4,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.999966768329047,0.9999669482569483,0.03408184213126243
-4,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999541889325632,0.9999568935828751,0.020693092316320768
-4,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999540230972277,0.9999567363420004,0.020607151529811237
-4,3,cnntf_v2_gap,worst_prediction_val0029,integrated_gradients,1,0.01,0.9996583995402745,0.9996756999746538,0.0654039483617963
-4,3,cnntf_v2_gap,worst_prediction_val0029,integrated_gradients,2,0.01,0.9996399061593885,0.9996578122630709,0.06620145701460957
-4,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9998358606428339,0.9998430802431867,0.04788916931172291
-4,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9998395402420021,0.9998468851802245,0.04749238129870358
-4,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999531188595678,0.9999554086892943,0.02279477284205391
-4,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999523902204387,0.9999547974668078,0.022924717936143795
-4,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999676298423875,0.9999675767245167,0.030410163180924082
-4,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.999967370050895,0.9999673746070143,0.0305046081484196
-4,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999729467733919,0.9999739981169227,0.018029163329135324
-4,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999738390303056,0.9999748647623116,0.0178388390847108
-4,3,alexnet,worst_prediction_val0005,integrated_gradients,1,0.01,0.9993767444571494,0.9994114048681972,0.06337113409632887
-4,3,alexnet,worst_prediction_val0005,integrated_gradients,2,0.01,0.9993092047835902,0.9993469472181671,0.06628883763239327
-4,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.9997656487496588,0.9997717666531644,0.04621286418377622
-4,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.9997707172304645,0.9997771984475695,0.04620401484390556
-4,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999505436053764,0.999952866844003,0.022411283621781745
-4,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999512338383455,0.9999535262914097,0.02225081943452697
-8,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9999529419441238,0.9999543021130596,0.034220173029620445
-8,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.999948261793756,0.9999495642440447,0.035763582190895885
