experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.11_0.3_2,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.7843525006114677,0.09166944888809063,121106.24465224118,31349.625565728016,102051.0697476085,26728.44046018442,0.9313679286369422,0.022668847775818495
2025.06.11_0.3_2,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.27357900104842287,0.27422669258278815,221272.01724795494,39904.36181665656,184847.56901316412,23982.549739289138,0.715001600118829,0.2320259402783726
2025.06.11_0.3_2,reference_SNR=-4,kfold,total_power_only,3,0.8170952470582599,0.10079321164799036,108513.56483409238,31498.77308677692,77126.78487580294,19101.283298828585,0.9539542734133422,0.011663427820774947
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.7671304968750777,0.04682799508161505,126547.03435337626,17123.689909855762,109300.38467399741,16050.187479434038,0.9459833326629418,0.014505152552167087
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,-0.361979788967409,0.7029388207250437,295287.133663388,78101.1445139892,247229.2078712196,60995.44026279531,0.4748858279279194,0.2970901791821271
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,total_power_only,3,0.6486858800374798,0.13865640489618267,153084.47353621494,27060.37081981978,120396.51946177518,22334.481733819157,0.9272103565400637,0.02570658926624079
2025.06.11_0.3_2,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.7734204877689748,0.1102760695160966,123771.256116317,35414.47610500631,103907.7533413585,31558.008113212705,0.9308724139202651,0.03037513489317963
2025.06.11_0.3_2,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,-0.1887726722648072,0.25248258592302514,286873.2251484022,32298.547188794833,235025.79242427522,21663.210157704358,0.446598761097102,0.3985532907734127
2025.06.11_0.3_2,reference_SNR=-8,kfold,total_power_only,3,0.6267102657240817,0.08249942567288945,160891.09251854804,22063.534794858726,114664.74300844183,23644.52416166286,0.9208635380809101,0.01602174095818267
2025.06.11_0.3_2,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.7961569947951089,0.02188473785853745,118630.08432013681,11339.460277376242,99039.53510983073,9507.911104507653,0.9499760635153525,0.008894626439371747
2025.06.11_0.3_2,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.033489086657912136,0.6715997887716681,247019.8237658542,82293.99877197598,206918.24988510855,70191.85463001764,0.6889962652687417,0.1423867478933681
