frequency,model,source_wav_id,y_true,sse_reduction_0_to_minus20
maxfreq=3kHz,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,21695474738.69949
maxfreq=3kHz,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,-1113551136.226192
maxfreq=3kHz,ensemble__inner_holdout,index=11.3.69E+05,368978.105,112516367.10486098
maxfreq=3kHz,ensemble__inner_holdout,index=12.4.27E+05,427276.195,-4233392.0009235665
maxfreq=3kHz,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,-530728256.72015005
maxfreq=3kHz,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,196272023.0812294
maxfreq=3kHz,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,186032238.80198482
maxfreq=3kHz,ensemble__inner_holdout,index=16.6.98E+05,698421.296,-860144108.7596372
maxfreq=3kHz,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,-103958136.79723263
maxfreq=3kHz,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,-1620224488.675705
maxfreq=3kHz,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,-7680881337.912167
maxfreq=3kHz,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,-3756304849.0292916
maxfreq=3kHz,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,427646468.9212479
maxfreq=3kHz,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,39643070.07324004
maxfreq=3kHz,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,-1008781711.6938739
maxfreq=3kHz,ensemble__inner_holdout,index=7.1.81E+05,181378.003,-1189761603.330433
maxfreq=3kHz,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,-17552903578.34987
maxfreq=3kHz,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,616682910.6314905
