snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_512_1000Hz,512.0,1000.0,484491.375,381347.234375,136225.59202500002,False
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_1000_2000Hz,1000.0,2000.0,739611.9375,636467.796875,391346.154525,False
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_2000_5000Hz,2000.0,5000.0,358488.46875,255344.328125,10222.68577500002,False
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_5000_10000Hz,5000.0,10000.0,334633.15625,231489.015625,-13632.62672499998,True
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_10000_15000Hz,10000.0,15000.0,148155.3125,45011.171875,-45011.171875,True
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_15000_22000Hz,15000.0,22000.0,233316.34375,130172.203125,-114949.43922499998,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_0_256Hz,0.0,256.0,50425.47265625,11.9609375,-11.9609375,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_256_512Hz,256.0,512.0,59914.3203125,9500.80859375,-9500.80859375,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_512_1000Hz,512.0,1000.0,506822.8125,456409.30078125,13880.961018749978,False
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_1000_2000Hz,1000.0,2000.0,801370.0625,750956.55078125,308428.21101875,False
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_2000_5000Hz,2000.0,5000.0,354734.3125,304320.80078125,-138207.53898125002,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_5000_10000Hz,5000.0,10000.0,288383.625,237970.11328125,-204558.22648125002,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_10000_15000Hz,10000.0,15000.0,157633.5625,107220.05078125,-107220.05078125,True
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_15000_22000Hz,15000.0,22000.0,236925.734375,186512.22265625,-186512.22265625,True
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_0_256Hz,0.0,256.0,23157.98828125,-1.44140625,1.44140625,False
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_256_512Hz,256.0,512.0,26168.3671875,3008.9375,-3008.9375,True
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_512_1000Hz,512.0,1000.0,420918.1875,397758.7578125,-99277.74601250002,True
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_1000_2000Hz,1000.0,2000.0,678159.125,654999.6953125,157963.19148749998,False
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_2000_5000Hz,2000.0,5000.0,306399.09375,283239.6640625,-213796.83976250002,True
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_5000_10000Hz,5000.0,10000.0,258182.390625,235022.9609375,-235022.9609375,True
