snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-4,rf,frequency,freq_15000_22000Hz,15000.0,22000.0,0.0009813151807605,-0.0025609772303499,0.0059472458073304,319.86956099954597
-4,rf,frequency,freq_2000_5000Hz,2000.0,5000.0,0.43319899433142517,0.3207102827177013,0.5610790046636154,114157.24640117052
-4,rf,frequency,freq_256_512Hz,256.0,512.0,0.0,0.0,0.0,0.0
-4,rf,frequency,freq_5000_10000Hz,5000.0,10000.0,0.0010487919974197662,-0.0312916330225138,0.0338493667145534,-248.39521227858495
-4,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.006279680541585765,-0.0507629042654115,0.0701620991366384,147.77822024439956
-4,rf,time,time_1,0.0,0.25,0.02762255298108623,-0.0325245808810383,0.0990839352472767,9700.484813168301
-4,rf,time,time_2,0.25,0.5,0.018632334131930866,-0.0303703251733645,0.0669377694179949,7430.364542995594
-4,rf,time,time_3,0.5,0.75,0.01076740147890147,-0.0580254684111459,0.066943690211337,3428.932529396745
-4,rf,time,time_4,0.75,1.0,0.02509304176011637,-0.0340346102271905,0.0936448379647352,8814.867651505352
-8,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.0023322874132241335,-0.004644785695238,-0.0001697309366113,-1109.9355685949752
-8,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,6.911760076940703,4.320297726045662,9.408611216562578,608141.4454126846
-8,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,64.37624231333514,10.938328976757326,153.06490244986944,1747430.0139138515
-8,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,3.311395318024363,2.703305885729514,4.475961855899321,402202.88947544066
-8,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,21.55358744575318,11.134210217600469,35.5452431934739,1105132.8952887976
-8,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.06708211316944467,0.0245015416518606,0.0991580118680338,25845.93126622908
-8,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,17.205595974845963,5.810212646387693,37.90292957127805,910625.2769662222
-8,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,14.783927816964798,2.268304710042694,37.67224900862444,766995.3637057856
-8,alexnet,time,time_1,0.0,0.25,12.388888150517657,1.3874905615585558,23.887846685142293,758348.753311057
-8,alexnet,time,time_2,0.25,0.5,24.736189624927814,5.5298715250722745,51.32000073729176,1114721.8735912016
-8,alexnet,time,time_3,0.5,0.75,14.75595918603848,3.4731392533641974,26.265140382431973,869355.456974485
-8,alexnet,time,time_4,0.75,1.0,3.0339244562688314,0.7933891922734164,6.932413401707837,335770.53208645206
-8,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.00016006261120056454,2.927460912371949e-05,0.0004125264901179,149.4644580726223
-8,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,0.7604599742045942,0.5742088331524772,0.9756323601241326,170451.41322912867
-8,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,1.3714222616941945,0.754970152978285,1.897028893315614,244495.72903072982
-8,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.2701506857283567,0.2553291424090587,2.7769637252826307,214574.75271612438
