snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-12,1,alexnet,near_onb_below_val0120,integrated_gradients,output,155651.5,452301.4375,0.7464397997248218,0.751782474704127,0.7196357051102212
-12,1,alexnet,near_onb_above_val0180,integrated_gradients,output,360540.65625,452717.21875,0.6472872477070575,0.6529250932070606,0.7281398699238474
-12,1,alexnet,false_negative_val0236,integrated_gradients,output,258814.6875,461533.59375,0.6728993920920835,0.6800795916011865,0.7270390464670227
-12,1,alexnet,worst_prediction_val0161,integrated_gradients,output,39681.37890625,458834.9375,0.7193200741662236,0.72664527820876,0.7054667052485725
-12,1,alexnet,low_heatflux_val0060,integrated_gradients,output,24660.47265625,459823.28125,0.7467649015416271,0.7521911600912853,0.7196311955669668
-12,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,65129.53515625,1137424.375,0.6950191122581764,0.703775922618465,0.7881502362540556
-12,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,435234.625,999405.5,0.5923451573662588,0.598326071162388,0.784954529439909
-12,2,cnntf_v2_gap,worst_prediction_val0056,integrated_gradients,output,-28470.181640625,1094009.5,0.7271537721905322,0.7329870609750778,0.7714289481698817
-12,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,56038.5234375,1123805.5,0.6948060319918861,0.7036055495206954,0.7883023823564245
-12,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,803411.375,927852.875,0.7257523624529184,0.7292588909208745,0.7229408006386816
-12,2,alexnet,near_onb_below_val0060,integrated_gradients,output,113614.71875,419824.75,0.6118768860322091,0.6213630033412807,0.7528220306676349
-12,2,alexnet,near_onb_above_val0120,integrated_gradients,output,420542.40625,416407.8125,0.6094164714326762,0.6136383437069712,0.7290322386921942
-12,2,alexnet,worst_prediction_val0018,integrated_gradients,output,-12910.9052734375,427485.8125,0.6034898767058254,0.6116983117762308,0.7507102463855616
-12,2,alexnet,low_heatflux_val0180,integrated_gradients,output,177067.828125,423592.65625,0.6114949812198305,0.6211251574575473,0.7524873828666531
-12,2,alexnet,high_heatflux_val0300,integrated_gradients,output,769922.5625,398120.53125,0.61288795390397,0.6190367304143645,0.7365356579794654
-12,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,304813.0625,-883695.0625,0.6780332622481448,0.688482187217558,0.7918464162390443
-12,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,485037.375,-776393.375,0.6270554943370116,0.6314230547156421,0.7999309219808468
-12,3,cnntf_v2_gap,worst_prediction_val0023,integrated_gradients,output,286843.125,-932975.75,0.7239452827193066,0.731277127109502,0.7894624331216574
-12,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,199581.234375,-890648.625,0.680308865846577,0.6899364023114372,0.8049656050883767
-12,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,758091.25,-732755.1875,0.6628900818609289,0.6662786513308644,0.7829216827609669
-12,3,alexnet,near_onb_below_val0180,integrated_gradients,output,330081.96875,470221.875,0.6056911212374915,0.6145793376038976,0.7305362385571866
-12,3,alexnet,near_onb_above_val0240,integrated_gradients,output,472225.6875,442732.90625,0.6595534397094516,0.663358026470289,0.7292217599847147
-12,3,alexnet,worst_prediction_val0040,integrated_gradients,output,243775.375,464080.40625,0.6434662971114421,0.6500299954399216,0.7850320359024755
-12,3,alexnet,low_heatflux_val0000,integrated_gradients,output,130571.453125,477196.96875,0.7029743531039563,0.7104159607068032,0.7284182404957117
-12,3,alexnet,high_heatflux_val0300,integrated_gradients,output,689236.3125,431253.84375,0.6039914730156063,0.6097062811439747,0.734646657354086
-16,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,137669.5625,447894.1875,0.6310203933728137,0.6449338999989986,0.8876465908412425
-16,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,415359.1875,470579.15625,0.6688388708980003,0.6766446832066992,0.8422477280979899
-16,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,269081.9375,429217.125,0.7098636351592494,0.7156173776357716,0.8882942046941072
-16,1,cnntf_v2_gap,worst_prediction_val0164,integrated_gradients,output,94778.3359375,423102.125,0.5609592209991489,0.5733986906990246,0.8931724297166073
-16,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,100696.8828125,427991.15625,0.6309724502043539,0.6449186273211952,0.8875718289884521
-16,1,alexnet,near_onb_below_val0120,integrated_gradients,output,88205.046875,460441.21875,0.6949010472184659,0.6993484277305327,0.7414379129837735
-16,1,alexnet,near_onb_above_val0180,integrated_gradients,output,406875.0625,449250.0625,0.5844302721068777,0.5916524089365424,0.7433464378550533
