snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,3,alexnet,low_heatflux_val0000,0,0.000328047,156485.5,156485.499671953,integrated_gradients,heat_flux,-408753.34375,-40127.921875,-368625.421875,9.186257464896443,1172724.25390625,176549.3671875,996174.88671875,886392.482421875,176549.3671875,709843.115234375,10,1031.25,42,0.18973214285714285
no_noise,3,alexnet,low_heatflux_val0000,0,0.000328047,156485.5,156485.499671953,grad_cam,relative_importance,nan,-40127.921875,nan,nan,339324.15546875005,176549.3671875,162774.78828125005,430188.851171875,176549.3671875,253639.48398437502,215,21165.178571428572,215,0.9620535714285714
no_noise,3,alexnet,low_heatflux_val0000,0,0.000328047,156485.5,156485.499671953,group_occlusion,heat_flux_change,nan,-40127.921875,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,56,0.25223214285714285
no_noise,3,alexnet,high_heatflux_val0300,300,698421.296,686102.875,12318.420999999973,integrated_gradients,heat_flux,-24796946432.0,489489.453125,-24797435921.453125,50659.79616749914,2984132.71015625,441358.6796875,2542774.03046875,2262985.344921875,441358.6796875,1821626.6652343748,23,2308.035714285714,16,0.07366071428571429
no_noise,3,alexnet,high_heatflux_val0300,300,698421.296,686102.875,12318.420999999973,grad_cam,relative_importance,nan,489489.453125,nan,nan,961787.7820312501,441358.6796875,520429.10234375007,1443794.748046875,441358.6796875,1002436.068359375,215,21165.178571428572,215,0.9620535714285714
no_noise,3,alexnet,high_heatflux_val0300,300,698421.296,686102.875,12318.420999999973,group_occlusion,heat_flux_change,nan,489489.453125,nan,nan,nan,nan,nan,nan,nan,nan,51,5058.035714285715,0,0.002232142857142857
0,1,rf,near_onb_below_val0120,120,266907.6965,66220.71875,200686.97775000002,group_occlusion,heat_flux_change,nan,-97579.421875,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
0,1,rf,near_onb_above_val0180,180,368978.105,402202.40625,33224.30125000002,group_occlusion,heat_flux_change,nan,238402.265625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
0,1,rf,false_negative_val0237,237,368978.105,275444.15625,93533.94874999998,group_occlusion,heat_flux_change,nan,111644.015625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
0,1,rf,worst_prediction_val0135,135,266907.6965,61001.53125,205906.16525000002,group_occlusion,heat_flux_change,nan,-102798.609375,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
0,1,rf,low_heatflux_val0060,60,20979.71604,86096.1640625,65116.4480225,group_occlusion,heat_flux_change,nan,-77703.9765625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,168,0.7522321428571429
0,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,176910.859375,89996.83712500002,integrated_gradients,heat_flux,-6969408.0,-133949.484375,-6835458.515625,51.030121896465864,190620.125,243892.5390625,-53272.4140625,187116.00703125,243892.5390625,-56776.53203125001,139,13700.892857142857,143,0.640625
0,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,176910.859375,89996.83712500002,group_occlusion,heat_flux_change,nan,-133949.484375,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,168,0.7522321428571429
0,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,395394.625,26416.52000000002,integrated_gradients,heat_flux,42809960.0,84534.28125,42725425.71875,505.4212928408852,308292.6703125,353156.078125,-44863.40781250002,273984.46484375,353156.078125,-79171.61328125,22,2209.8214285714284,2,0.011160714285714286
0,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,395394.625,26416.52000000002,group_occlusion,heat_flux_change,nan,84534.28125,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,112,0.5022321428571429
