before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
no_noise,-20,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,-6706940136525.211
no_noise,-20,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,-5226369113921.024
no_noise,-20,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,-3938111027955.4287
no_noise,-20,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,-2120154553272.5334
no_noise,-20,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,-808074164829.1674
no_noise,-20,equal_offline,index=1.0,-1.42e-06,below_onb,60,-7056307757016.876
no_noise,-20,equal_offline,index=10.322114,322114.2428,above_onb,60,1333723543756.2993
no_noise,-20,equal_offline,index=11.376320,376320.1201,above_onb,60,308988113856.2936
no_noise,-20,equal_offline,index=12.434018,434018.0833,above_onb,60,12515596511.057043
no_noise,-20,equal_offline,index=13.496023,496023.3525,above_onb,60,240867988.23620415
no_noise,-20,equal_offline,index=14.562158,562158.7854,above_onb,60,30945703687.73877
no_noise,-20,equal_offline,index=15.633482,633482.536,above_onb,60,51784086833.134346
no_noise,-20,equal_offline,index=16.709792,709792.7143,above_onb,60,26193950356.481636
no_noise,-20,equal_offline,index=17.789500,789500.1968,above_onb,60,-74101185458.03638
no_noise,-20,equal_offline,index=18.873637,873637.0359,above_onb,60,-229466596987.6393
no_noise,-20,equal_offline,index=2.2380,2380.025286,below_onb,60,-6838869817973.028
no_noise,-20,equal_offline,index=3.21242,21242.86319,below_onb,60,-6394003550336.321
no_noise,-20,equal_offline,index=4.58389,58389.85471,below_onb,60,-5275341770940.601
no_noise,-20,equal_offline,index=5.113188,113188.2901,below_onb,60,-3553500144765.6562
no_noise,-20,equal_offline,index=6.146381,146381.6505,below_onb,60,-2466576831669.534
no_noise,-20,equal_offline,index=7.184190,184190.9699,below_onb,60,-1556696053199.5881
no_noise,-20,equal_offline,index=8.225704,225704.9618,below_onb,60,-133866115225.11902
no_noise,-20,equal_offline,index=9.271677,271677.6816,near_onb,60,675535097807.8286
-8,-16,randomforest,index=1.0,-1.42e-06,below_onb,60,-184007574475.82782
-8,-16,randomforest,index=10.322114,322114.2428,above_onb,60,492598575388.6041
-8,-16,randomforest,index=11.376320,376320.1201,above_onb,60,-23227346188.40388
-8,-16,randomforest,index=12.434018,434018.0833,above_onb,60,-1082810537.8311737
-8,-16,randomforest,index=13.496023,496023.3525,above_onb,60,99059795.86953066
-8,-16,randomforest,index=14.562158,562158.7854,above_onb,60,-71327631.93260378
-8,-16,randomforest,index=15.633482,633482.536,above_onb,60,177708988.499531
-8,-16,randomforest,index=16.709792,709792.7143,above_onb,60,-77296307.83126712
-8,-16,randomforest,index=17.789500,789500.1968,above_onb,60,22847523.701848984
-8,-16,randomforest,index=18.873637,873637.0359,above_onb,60,-571057381.0610542
-8,-16,randomforest,index=2.2380,2380.025286,below_onb,60,-145729777235.4475
-8,-16,randomforest,index=3.21242,21242.86319,below_onb,60,-126334635822.27156
-8,-16,randomforest,index=4.58389,58389.85471,below_onb,60,-58817639325.50029
-8,-16,randomforest,index=5.113188,113188.2901,below_onb,60,25339452506.394035
-8,-16,randomforest,index=6.146381,146381.6505,below_onb,60,104051018756.79533
-8,-16,randomforest,index=7.184190,184190.9699,below_onb,60,180156442033.087
-8,-16,randomforest,index=8.225704,225704.9618,below_onb,60,380980545763.4702
-8,-16,randomforest,index=9.271677,271677.6816,near_onb,60,376465259404.6018
-8,-16,conformer,index=1.0,-1.42e-06,below_onb,60,-8895456596092.336
-8,-16,conformer,index=10.322114,322114.2428,above_onb,60,-2226558298994.927
-8,-16,conformer,index=11.376320,376320.1201,above_onb,60,-763280325642.6154
-8,-16,conformer,index=12.434018,434018.0833,above_onb,60,-392220445884.93085
-8,-16,conformer,index=13.496023,496023.3525,above_onb,60,-293418032695.8334
-8,-16,conformer,index=14.562158,562158.7854,above_onb,60,-244865947571.74857
-8,-16,conformer,index=15.633482,633482.536,above_onb,60,-221371195461.2064
-8,-16,conformer,index=16.709792,709792.7143,above_onb,60,-155541814570.0903
-8,-16,conformer,index=17.789500,789500.1968,above_onb,60,-118893009691.07475
-8,-16,conformer,index=18.873637,873637.0359,above_onb,60,-24439669112.888927
-8,-16,conformer,index=2.2380,2380.025286,below_onb,60,-9006172056711.283
-8,-16,conformer,index=3.21242,21242.86319,below_onb,60,-8504575348808.734
-8,-16,conformer,index=4.58389,58389.85471,below_onb,60,-7798050433316.451
-8,-16,conformer,index=5.113188,113188.2901,below_onb,60,-6733923077754.754
-8,-16,conformer,index=6.146381,146381.6505,below_onb,60,-6020955330114.789
-8,-16,conformer,index=7.184190,184190.9699,below_onb,60,-5197536880262.424
-8,-16,conformer,index=8.225704,225704.9618,below_onb,60,-4302110274379.256
-8,-16,conformer,index=9.271677,271677.6816,near_onb,60,-3354187713319.05
-8,-16,alexnet,index=1.0,-1.42e-06,below_onb,60,-462311990365.5437
-8,-16,alexnet,index=10.322114,322114.2428,above_onb,60,82132209613.84851
-8,-16,alexnet,index=11.376320,376320.1201,above_onb,60,230584990241.3051
-8,-16,alexnet,index=12.434018,434018.0833,above_onb,60,-17769296225.880173
-8,-16,alexnet,index=13.496023,496023.3525,above_onb,60,-142331635383.65036
-8,-16,alexnet,index=14.562158,562158.7854,above_onb,60,-187467647599.64798
-8,-16,alexnet,index=15.633482,633482.536,above_onb,60,-100406704833.15361
-8,-16,alexnet,index=16.709792,709792.7143,above_onb,60,27632177235.81798
-8,-16,alexnet,index=17.789500,789500.1968,above_onb,60,2816781650.2339206
-8,-16,alexnet,index=18.873637,873637.0359,above_onb,60,-276195228683.1393
-8,-16,alexnet,index=2.2380,2380.025286,below_onb,60,-526816081159.694
-8,-16,alexnet,index=3.21242,21242.86319,below_onb,60,-457986598630.20734
-8,-16,alexnet,index=4.58389,58389.85471,below_onb,60,-424931250710.5904
-8,-16,alexnet,index=5.113188,113188.2901,below_onb,60,-400194742595.64594
-8,-16,alexnet,index=6.146381,146381.6505,below_onb,60,-321725393130.5558
-8,-16,alexnet,index=7.184190,184190.9699,below_onb,60,-238913971356.01306
-8,-16,alexnet,index=8.225704,225704.9618,below_onb,60,-97980206008.88165
